iter	Passed	Remaining
1569	46729	72326
1570	46757	72293
1571	46790	72269
1572	46823	72244
1573	46854	72215
1574	46881	72182
1575	46910	72152
1576	46950	72137
1577	46991	72124
1578	47020	72094
1579	47059	72078
1580	47099	72064
1581	47126	72030
1582	47156	72000
1583	47185	71970
1584	47214	71938
1585	47239	71901
1586	47276	71882
1587	47307	71854
1588	47335	71822
1589	47360	71785
1590	47385	71748
1591	47422	71729
1592	47455	71705
1593	47484	71674
1594	47508	71634
1595	47535	71600
1596	47567	71574
1597	47595	71542
1598	47637	71530
1599	47677	71516
1600	47718	71503
1601	47757	71486
1602	47803	71482
1603	47837	71458
1604	47863	71422
1605	47891	71390
1606	47918	71355
1607	47946	71323
1608	47983	71304
1609	48017	71280
1610	48047	71250
1611	48078	71222
1612	48120	71210
1613	48152	71184
1614	48177	71147
1615	48211	71123
1616	48244	71098
1617	48275	71070
1618	48302	71036
1619	48334	71009
1620	48372	70991
1621	48403	70964
1622	48430	70929
1623	48459	70898
1624	48490	70870
1625	48520	70841
1626	48552	70814
1627	48584	70787
1628	48612	70755
1629	48639	70720
1630	48665	70686
1631	48704	70668
1632	48732	70636
1633	48759	70603
1634	48789	70572
1635	48814	70535
1636	48839	70499
1637	48863	70461
1638	48891	70428
1639	48918	70394
1640	48945	70361
1641	48972	70327
1642	48999	70293
1643	49031	70266
1644	49056	70229
1645	49083	70195
1646	49108	70159
1647	49134	70123
1648	49164	70094
1649	49200	70073
1650	49240	70057
1651	49267	70023
1652	49301	70000
1653	49327	69965
1654	49354	69930
1655	49378	69893
1656	49404	69857
1657	49430	69822
1658	49457	69789
1659	49482	69752
1660	49509	69717
1661	49535	69683
1662	49581	69676
